"name","id","max_HP","max_MP","attack","defense","agility","miss","critical","dodge","hits","regen","target_group","target_all","run_fac","resist.burn","resist.beat","resist.numb","resist.poison","resist.sap","resist.slow","resist.chaos","resist.robmagic","resist.sleep","resist.stopspell","resist.surround","resist.fear","saver.burn","saver.phys","saver.ment","ally","experience","gold","drop.common.name","drop.common.rate","drop.rare.name","drop.rare.rate","drop.heart.name","drop.heart.rate","recruit","is_aware","behavior","pattern[0]","pattern[1]","pattern[2]","pattern[3]","pattern[4]","pattern[5]","pattern[6]","pattern[7]","flavor.attack[0]","flavor.attack[1]","flavor.attack[2]","flavor.attack[3]","flavor.attack[4]","flavor.attack[5]","flavor.attack[6]","flavor.attack[7]","flavor.dodge","flavor.confusion","flavor.idle"
"Slime",1,3,0,5,3,3,0,1,4,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,1,2,,0,,0,"Slime",0,"TRUE","FALSE","random1","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","jiggles at","wiggles at","bounces at","pounces at","shivers at","quivers at","bobbles at","wobbles at","splits around the attack","tries to form a King Slime with the voices in its head!","is smiling!"
"Red Slime",2,4,0,7,3,3,0,1,4,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,1,3,,0,,0,"Slime",0,"TRUE","FALSE","random1","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","jeers at","leers at","laughs at","smiles at","blinks at","winks at","shakes at","quakes at","splits around the attack","confesses that it is jealous of blue slimes for hogging the spotlight!","stares blankly into space."
"Drakee",3,6,0,9,6,8,0,1,4,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,2,3,,0,,0,"Drakee",0,"TRUE","FALSE","random1","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","bites","bites","gnashes","gnashes","claws at","claws at","rakes at","rakes at","swoops and evades","is flying in circles trying to chase its tail!","screeches at its prey!"
"Ghost",4,7,0,11,8,6,0,0,16,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,3,5,,0,,0,,0,"TRUE","FALSE","random1","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","licks","licks","hugs","hugs","torments","torments","provokes","provokes","phases out","is haunting itself! Ghost is scared!","sticks its tongue out!"
"Magician",5,13,6,11,12,12,0,0,4,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,4,12,,0,,0,,0,"TRUE","TRUE","random1","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","ATTACK","ATTACK","ATTACK","ATTACK","tricks","tricks","tricks","performs an illusion on","performs an illusion on","performs an illusion on","inscribes “HURT” on his fists and casts them at","inscribes “HURT” on his fists and casts them at","uses smoke and mirrors to escape","explains how to perform his ultimate trick...","is preparing an incantation."
"Magidrakee",6,15,6,14,14,16,0,1,4,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,5,12,,0,,0,"Drakee",0,"TRUE","TRUE","random1","SPELL:Sap","SPELL:Sap","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","ATTACK","ATTACK","ATTACK","bites","bites","gnashes","gnashes","claws at","claws at","rakes at","rakes at","swoops and evades","is flying in circles trying to chase its tail!","screeches at its prey!"
"Scorpion",7,20,0,18,16,14,0,1,4,2,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,6,16,,0,,0,"Scorpion",0,"TRUE","FALSE","random1","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","clutches","clutches","grips","grips","stings","stings","pierces","pierces","scuttles out of the way","wishes it was better at playing “rock, paper, scissors”","shakes its tail as a threat!"
"Druin",8,22,0,20,18,18,0,1,8,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,7,16,,0,,0,"Druin",0,"TRUE","FALSE","random1","SKILL:Call Help","SKILL:Call Help","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","ATTACK","emits EYE LASERS at","emits EYE LASERS at","shreads","shreads","shears","shears","lambastes","lambastes","burrows out of the way","claims it has the high score on “Dig Dug”","is chirping incoherently."
"Poltergeist",9,23,14,18,20,16,0,0,24,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,0,0,0,0,"FALSE","FALSE","FALSE",,8,18,,0,,0,,0,"TRUE","TRUE","random1","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","SPELL:Blaze","SPELL:Firebal","SPELL:Firebal","ATTACK","licks","licks","hugs","hugs","torments","torments","provokes","provokes","phases out","is haunting itself! Poltergeist is scared!","sticks its tongue out!"
"Drakeema",10,20,18,22,26,28,0,1,24,1,"FALSE","FALSE","FALSE","0.25",0,0,0,0,0,0,0,0,2,0,0,0,"FALSE","FALSE","FALSE",,11,20,,0,,0,"Drakee",0,"TRUE","TRUE","random3","SPELL:Blaze","SPELL:Blaze","SPELL:Firebal","ATTACK","SPELL:Blaze","SPELL:Firebal","SPELL:Heal","SPELL:Heal","bites","bites","gnashes","gnashes","claws at","claws at","rakes at","rakes at","swoops and evades","is flying in circles trying to chase its tail!","screeches at its prey!"
